group7136-2, hypothetical protein
group1319, transcriptional regulator%2C LysR family
group1318, hypothetical protein
group1673-2, extracellular solute-binding protein family 1
group8336, transposase IS4 family protein
group8337, transposase IS4 family protein
group8334, hypothetical protein
group8335, transposase IS4 family protein
group8332, Peptidase M15A
group8333, transposase
group8330, transposase
group8331, hypothetical protein
group8338, transposase IS4 family protein
group8339, transposase IS4 family protein
group18260, extracellular solute-binding protein family 1
group18261, short-chain dehydrogenase
group18262, sugar ABC transporter
group18263, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group18264, inner-membrane translocator
group18265, rhizopine-binding protein precursor
group18266, hypothetical protein
group18267, hypothetical protein
group18268, hypothetical protein
group18269, hypothetical protein
group2662, hypothetical protein
group2663, hypothetical protein
group2660, transcriptional regulator%2C HxlR family
group2661, bifunctional deaminase-reductase domain protein
group2666, TetR family transcriptional regulator
group2667, aldo/keto reductase
group2664, transcriptional regulator%2C TetR family
group2665, O-methyltransferase family 3
group2668, transcriptional regulator%2C MarR family with acetyltransferase activity
group2669, hypothetical protein
group12038, hypothetical protein
group5128, inner-membrane translocator
group5129, monooxygenase FAD-binding protein
group5120, aldo/keto reductase
group5121, transcriptional regulator%2C LysR family
group5122, intradiol ring-cleavage dioxygenase
group5123, iron-containing alcohol dehydrogenase
group5124, ABC transporter substrate-binding protein
group5125, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5126, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group5127, inner-membrane translocator
group11038-2, oxidoreductase domain protein
group3209, hypothetical protein
group3208, hypothetical protein
group3203, Extensin family protein
group3202, TonB-dependent hemoglobin/transferrin/lactoferrin family receptor
group3201, anthranilate synthase
group3200, hypothetical protein
group3207, PAS fold-3 domain protein
group3206, transcriptional regulator%2C LuxR family
group3205, hypothetical protein
group3204, Formate--tetrahydrofolate ligase
group8955-2, transposase
group7438, dihydropyrimidinase
group7439, hypothetical protein
group1811, membrane protein
group7430, peptide transporter
group7431, hypothetical protein
group7432, Ti-type conjugative transfer system protein TraG
group7433, conjugal transfer protein TraD
group7434, conjugal transfer protein TraH
group7435, hypothetical protein
group7436, cyclic nucleotide-binding protein
group7437, hypothetical protein
group1817, valyl-tRNA synthetase
group1878, poly(3-hydroxyalkanoate) polymerase
group1879, hypothetical protein
group1876, aminotransferase class I and II
group1877, hypothetical protein
group1874, 3-dehydroquinate dehydratase%2C type II
group1875, DSBA oxidoreductase
group1872, acetyl-CoA carboxylase%2C biotin carboxylase
group1873, acetyl-CoA carboxylase%2C biotin carboxyl carrier protein
group1870, hypothetical protein
group1871, leucyl/phenylalanyl-tRNA/protein transferase
group4310, periplasmic protein thiol/disulphide oxidoreductase DsbE
group4311, heme exporter protein CcmD
group4312, heme exporter protein CcmC
group4313, heme exporter protein CcmB
group4314, ACS59138.1 nodulation ABC transporter NodI (plasmid)
group4315, aconitate hydratase 1
group4316, hypothetical protein
group4317, hypothetical protein
group4318, GCN5-related N-acetyltransferase
group4319, hypothetical protein
group10844, hypothetical protein
group10845, transposase IS21
group10846, hypothetical protein
group10847, hypothetical protein
group10840, hypothetical protein
group10841, hypothetical protein
group10842, hypothetical protein
group10843, transposase IS630-like protein
group10848, 3'(2')%2C5'-bisphosphate nucleotidase
group10849, transposase IS21
group19678, hypothetical protein
group19679, hypothetical protein
group11467, major facilitator superfamily MFS_1
group11466, hypothetical protein
group11461, hypothetical protein
group11460, copper-binding protein
group11463, RNA polymerase%2C sigma-24 subunit%2C ECF subfamily
group11462, hypothetical protein
group19670, hypothetical protein
group19671, hypothetical protein
group19672, hypothetical protein
group19673, hypothetical protein
group19674, hypothetical protein
group19675, hypothetical protein
group19676, hypothetical protein
group19677, hypothetical protein
group10598, hypothetical protein
group10599, transposase IS630-like protein
group10596, Group II intron-encoded protein LtrA
group10597, hypothetical protein
group10594, transcriptional regulator%2C XRE family
group10595, transcriptional regulator%2C XRE family
group10592, transposase IS630-like protein
group10593, DNA-cytosine methyltransferase
group10590, hypothetical protein
group10591, hypothetical protein
group4332, hypothetical protein
group4333, Lysine exporter protein (LYSE/YGGA)
group14385, hypothetical protein
group14384, 5'-Nucleotidase domain protein
group4336, hypothetical protein
group4337, hypothetical protein
group6945-2, integrase
group14381, hypothetical protein
group14380, transposase
group17108, ACS59134.1 transcriptional regulator%2C LysR family (plasmid)
group17109, hypothetical protein
group10338, hypothetical protein
group10339, hypothetical protein
group10332, hypothetical protein
group10333, hypothetical protein
group10330, OmpA/MotB domain protein
group17103, nitrogen regulatory protein P-II
group10336, Undecaprenyl-phosphate galactose phosphotransferase
group10337, hypothetical protein
group10334, peptide chain release factor H
group10335, release factor H-coupled RctB family protein
group18109, hypothetical protein
group18108, major facilitator superfamily MFS_1
group18101, hypothetical protein
group18100, hypothetical protein
group18103, hypothetical protein
group18102, hypothetical protein
group18105, transcriptional regulator%2C LysR family
group18104, hypothetical protein
group18107, transcriptional regulator%2C LysR family
group18106, hypothetical protein
group16859, hypothetical protein
group16858, filamentation induced by cAMP protein Fic
group16855, hypothetical protein
group16854, autoinducer synthesis protein
group16857, filamentation induced by cAMP protein Fic
group16856, filamentation induced by cAMP protein Fic
group16851, hypothetical protein
group16850, hypothetical protein
group16853, hypothetical protein
group16852, hypothetical protein
group2597-2, multidrug MFS transporter
group20278, short-chain dehydrogenase/reductase SDR
group20279, short-chain dehydrogenase/reductase SDR
group20270, peptide synthetase
group20271, hypothetical protein
group20272, Alcohol dehydrogenase zinc-binding domain protein
group20273, short-chain dehydrogenase/reductase SDR
group20274, transcriptional regulator%2C LysR family
group20275, hypothetical protein
group20276, short-chain dehydrogenase/reductase SDR
group20277, transcriptional regulator%2C AraC family
group131-6, transposase
group131-5, transposase
group131-4, transposase
group131-3, transposase
group131-2, transposase
group11085-2, transcriptional regulator%2C LysR family
group16279, hypothetical protein
group16278, nucleoside-diphosphate sugar epimerase
group16271, hypothetical protein
group16270, ribosomal protein S21
group16273, hypothetical protein
group16272, hypothetical protein
group16275, DinB family protein
group16274, transcriptional regulator%2C TetR family
group16277, Methyltransferase type 11
group16276, Carboxymuconolactone decarboxylase
group9270, NAD-dependent epimerase/dehydratase
group9271, beta-lactamase
group9272, hypothetical protein
group9273, hypothetical protein
group9274, hypothetical protein
group9275, hypothetical protein
group9276, hypothetical protein
group9277, hypothetical protein
group9278, GCN5-related N-acetyltransferase
group9279, nuclease
group6420, NADH:ubiquinone oxidoreductase subunit M
group6421, NADH:ubiquinone oxidoreductase subunit N
group6422, NADH-quinone oxidoreductase subunit A
group6423, NADH dehydrogenase subunit B
group6424, NADH-quinone oxidoreductase subunit C
group6425, NADH dehydrogenase subunit D
group6426, NADH-quinone oxidoreductase subunit E
group6427, NADH dehydrogenase subunit F
group6428, NADH-quinone oxidoreductase subunit G
group6429, histidine kinase
group13739, thioredoxin
group13738, thioredoxin
group13733, transposase IS3/IS911 family protein
group13732, hypothetical protein
group13731, transposase IS5 family protein
group13730, hypothetical protein
group13737, Integrase catalytic region
group13736, transposase IS5 family protein
group13735, hypothetical protein
group13734, hypothetical protein
group15779, transcriptional regulator%2C AraC family
group15778, hypothetical protein
group15775, hypothetical protein
group15774, transcriptional regulator%2C LysR family
group15777, hypothetical protein
group15776, hypothetical protein
group15771, hypothetical protein
group15770, hypothetical protein
group15773, short-chain dehydrogenase/reductase SDR
group15772, hypothetical protein
group15199, restriction endonuclease
group15198, hypothetical protein
group15191, Anaerobic sulfatase-maturating enzyme
group15190, hypothetical protein
group15193, peptidase C14 caspase catalytic subunit p20
group15192, hypothetical protein
group15195, Patatin
group15194, hypothetical protein
group15197, hypothetical protein
group15196, N-acetylmuramyl-L-alanine amidase%2C negative regulator of AmpC%2C AmpD
group14822, hypothetical protein
group14823, Xylose isomerase domain protein TIM barrel
group14820, transposase IS21
group14821, transposase IS3/IS911 family protein
group14826, hypothetical protein
group14827, GCN5-related N-acetyltransferase
group14824, Integrase catalytic region
group14825, Hydrolase of the alpha/beta superfamily-like protein
